time,state
8585,1
8588,1
8592,1
8595,1
8598,1
8601,1
8604,1
8607,1
8611,1
8614,1
8617,1
8620,1
8623,1
8627,1
8630,1
8633,1
8636,1
8639,1
8643,1
8646,1
8649,1
8652,1
8655,1
8659,1
8662,1
8665,1
8668,1
8671,1
8675,1
8678,1
8681,1
8684,1
8687,1
8691,1
8694,1
8697,1
8700,1
8703,1
8707,1
8710,1
8713,1
8716,1
8719,1
8723,1
8726,1
8729,1
8732,1
8735,1
8739,1
8742,1
8745,1
8748,1
8751,1
8755,1
8758,1
8761,1
8764,1
8767,1
8771,1
8774,1
8777,1
8780,1
8783,1
8787,1
8790,1
8793,1
8796,1
8799,1
8802,1
8806,1
8809,1
8812,1
8815,1
8818,1
8822,1
8828,1
8831,1
8835,1
8838,1
8841,1
8844,1
8847,1
8851,1
8854,1
8857,1
8860,1
8863,1
8867,1
8870,1
8873,1
8876,1
8879,1
8883,1
8886,1
8889,1
8892,1
8895,1
8899,1
8902,1
8905,1
8908,1
8911,1
8915,1
8918,1
8921,1
8924,1
8928,1
8931,1
8934,1
8937,1
8940,1
8943,1
8947,1
8950,1
8953,1
8956,1
8959,1
8963,1
8966,1
8969,1
8972,1
8975,1
8979,1
8982,1
8985,1
8988,1
8991,1
8995,1
8998,1
9001,1
9004,1
9007,1
9011,1
9014,1
9017,1
9020,1
9023,1
9027,1
9030,1
9033,1
9036,1
9039,1
9043,1
9046,1
9049,1
9052,1
9055,1
9059,1
9062,1
9065,1
9068,1
9071,1
9075,1
9078,1
9081,1
9084,1
9087,1
9091,1
9094,1
9097,1
9100,1
9103,1
9107,1
9110,1
9113,1
9116,1
9119,1
9123,1
9126,1
9129,1
9132,1
9135,1
9139,1
9142,1
9145,1
9148,1
9151,1
9155,1
9158,1
9161,1
9164,1
9167,1
9171,1
9174,1
9177,1
9180,1
9183,1
9187,1
9190,1
9193,1
9196,1
9199,1
9202,1
9206,1
9209,1
9212,1
9215,1
9219,1
9222,1
9225,1
9228,1
9231,1
9235,1
9238,1
9241,1
9244,1
9247,1
9250,1
9254,1
9257,1
9260,1
9263,1
9267,1
9270,1
9273,1
9276,1
9279,1
9282,1
9286,1
9289,1
9292,1
9295,1
9302,1
9305,1
9308,1
9311,1
9315,1
9318,1
9321,1
9324,1
9327,1
9331,1
